ID     | Command line                                                                                                                                                                              | Date and time    | Action(s)      | Altered
    77 | update                                                                                                                                                                                    | 2021-07-29 15:25 | ?, E, I, U     |   34 EE
    76 | -y install --disablerepo=* /tmp/akmods.eniDe2Rg/results/kmod-acpi_call-5.13.4-100.fc33.x86_64-1.1.2-2.fc33.x86_64.rpm                                                                     | 2021-07-27 16:29 | Install        |    1   
    75 | update                                                                                                                                                                                    | 2021-07-27 16:24 | ?, E, I, U     |  421 EE
    74 | install nmap                                                                                                                                                                              | 2021-06-26 17:22 | Install        |    1   
    73 | install xsel xclip                                                                                                                                                                        | 2021-06-17 11:27 | Install        |    2   
    72 | install wl-clipboard                                                                                                                                                                      | 2021-06-17 11:05 | Install        |    1   
    71 | remove wl-clipboard                                                                                                                                                                       | 2021-06-17 11:02 | Removed        |    1   
    70 | install vlc                                                                                                                                                                               | 2021-06-11 08:44 | Install        |   23   
    69 | -y install --disablerepo=* /tmp/akmods.0sLhfn3b/results/kmod-acpi_call-5.12.9-200.fc33.x86_64-1.1.2-2.fc33.x86_64.rpm                                                                     | 2021-06-09 12:15 | Install        |    1   
    68 | update                                                                                                                                                                                    | 2021-06-09 12:13 | ?, E, I, U     |   96 EE
    67 | remove mpv                                                                                                                                                                                | 2021-06-02 14:28 | Removed        |    7   
    66 | install mplayer                                                                                                                                                                           | 2021-06-02 14:23 | Install        |    8   
    65 | install mpv                                                                                                                                                                               | 2021-06-02 14:20 | Install        |   10   
    64 | install anki                                                                                                                                                                              | 2021-06-02 07:51 | Install        |   36   
    63 | install mosh                                                                                                                                                                              | 2021-05-24 13:45 | Install        |    3   
    62 | remove mosh                                                                                                                                                                               | 2021-05-24 13:44 | Removed        |    3   
    61 | install mosh                                                                                                                                                                              | 2021-05-24 13:43 | Install        |    3   
    60 | -y install --disablerepo=* /tmp/akmods.mXOonueT/results/kmod-acpi_call-5.12.5-200.fc33.x86_64-1.1.2-2.fc33.x86_64.rpm                                                                     | 2021-05-24 09:35 | Install        |    1   
    59 | update                                                                                                                                                                                    | 2021-05-24 09:33 | ?, E, I, U     |  114 EE
    58 | -y install --disablerepo=* /tmp/akmods.h7PGSF6p/results/kmod-acpi_call-5.11.20-200.fc33.x86_64-1.1.2-2.fc33.x86_64.rpm                                                                    | 2021-05-18 15:00 | Install        |    1   
    57 | update                                                                                                                                                                                    | 2021-05-18 14:56 | E, I, U        |  170 EE
    56 | install lynis                                                                                                                                                                             | 2021-05-18 13:26 | Install        |    1   
    55 | -y install --disablerepo=* /tmp/akmods.8WguQSNB/results/kmod-acpi_call-5.11.16-200.fc33.x86_64-1.1.2-2.fc33.x86_64.rpm                                                                    | 2021-05-14 20:55 | Install        |    1   
    54 | install /home/mike/Downloads/zoom_x86_64.rpm                                                                                                                                              | 2021-05-14 07:51 | Upgrade        |    1 EE
    53 | install acpi_call                                                                                                                                                                         | 2021-04-29 08:37 | Install        |   18 EE
    52 | update                                                                                                                                                                                    | 2021-04-28 08:05 | E, I, U        |  358 EE
    51 | install https://repo.linrunner.de/fedora/tlp/repos/releases/tlp-release.fc33.noarch.rpm                                                                                                   | 2021-04-28 07:35 | Install        |    1   
    50 | install tlp                                                                                                                                                                               | 2021-04-26 21:25 | Install        |   17 EE
    49 | install socat                                                                                                                                                                             | 2021-04-20 10:12 | Install        |    1   
    48 | install postgresql                                                                                                                                                                        | 2021-04-02 09:22 | Install        |    2   
    47 |                                                                                                                                                                                           | 2021-03-29 08:42 | I, U           |  136   
    46 | update                                                                                                                                                                                    | 2021-03-19 07:43 | Upgrade        |   10   
    45 | update                                                                                                                                                                                    | 2021-03-18 11:22 | E, I, U        | 1305 EE
    44 | update                                                                                                                                                                                    | 2021-03-07 21:29 | E, I, O, U     |  544 EE
    43 | -y update                                                                                                                                                                                 | 2021-02-10 23:14 | E, I, U        | 1800 EE
    42 | install inkscape                                                                                                                                                                          | 2021-02-09 21:36 | Install        |    7   
    41 | install pinta                                                                                                                                                                             | 2021-02-04 09:41 | Install        |   13 EE
    40 | install gthumb                                                                                                                                                                            | 2021-02-02 14:18 | Install        |    1   
    39 | install julius                                                                                                                                                                            | 2021-02-01 08:22 | Install        |    2   
    38 | install gnome-shell-extension-pomodoro                                                                                                                                                    | 2021-01-27 22:52 | Install        |    1   
    37 | install yarnpkg                                                                                                                                                                           | 2021-01-27 16:41 | Install        |    1   
    36 | install npm                                                                                                                                                                               | 2020-12-29 15:11 | Install        |    7   
    35 | install -y texlive-scheme-medium --setopt=install_weak_deps=false                                                                                                                         | 2020-12-29 09:26 | Install        | 1381   
    34 | update -y                                                                                                                                                                                 | 2020-12-29 09:21 | E, I, U        |  243 EE
    33 | install texlive-latex                                                                                                                                                                     | 2020-12-23 15:38 | Install        |   55   
    32 | install librsvg2-tools                                                                                                                                                                    | 2020-12-23 15:36 | Install        |    1   
    31 | install mbuffer                                                                                                                                                                           | 2020-12-17 11:16 | Install        |    1   
    30 | update                                                                                                                                                                                    | 2020-12-17 10:10 | E, I, U        |  152 EE
    29 | install youtube-dl                                                                                                                                                                        | 2020-12-16 16:56 | Install        |    1   
    28 | -y update                                                                                                                                                                                 | 2020-12-11 16:04 | E, I, U        |  160 EE
    27 | install alacritty                                                                                                                                                                         | 2020-12-08 06:56 | Install        |    1   
    26 | remove alacritty                                                                                                                                                                          | 2020-12-08 06:55 | Removed        |    1   
    25 | -y update                                                                                                                                                                                 | 2020-12-02 22:06 | I, U           |  140 EE
    24 | -y install --setopt=install_weak_deps=false sway swaylock waybar grim slurp wf-recorder wayvnc                                                                                            | 2020-12-02 21:53 | Install        |   17   
    23 | -y install --setopt=install_weak_deps=false wl-clipboard perl-App-cpanminus keepassxc kpcli                                                                                               | 2020-12-02 21:52 | I, U           |  194   
    22 | -y remove vim-minimal vim-enhanced                                                                                                                                                        | 2020-12-02 21:49 | Removed        | 1520 EE
    21 | -y install --setopt=install_weak_deps=false zlib.i686 ncurses-libs.i686 bzip2-libs.i686 bridge-utils libvirt virt-install qemu-kvm virt-manager qemu-kvm virt-top libguestfs-tools        | 2020-12-02 21:48 | I, U           |   36   
    20 | -y install --setopt=install_weak_deps=false graphviz plantuml pandoc aha                                                                                                                  | 2020-12-02 21:47 | Install        |    9   
